number of reads,number of barcodes
1,329886
2,57687
3,86495
4,119654
5,148178
6,165953
7,169090
8,158289
9,137259
10,110453
11,83204
12,59702
13,40753
14,26471
15,16530
16,10258
17,6169
18,3905
19,2404
20,1673
21,1063
22,822
23,654
24,445
25,385
26,293
27,266
28,226
29,188
30,165
31,161
32,137
33,132
34,114
35,101
36,77
37,69
38,79
39,74
40,47
41,51
42,51
43,38
44,45
45,39
46,38
47,35
48,33
49,38
50,33
51,22
52,29
53,36
54,28
55,13
56,22
57,20
58,17
59,18
60,16
61,22
62,13
63,9
64,12
65,13
66,13
67,5
68,12
69,7
70,12
71,8
72,8
73,10
74,7
75,12
76,10
77,13
78,8
79,6
80,5
81,2
82,5
83,3
84,7
85,4
86,5
87,11
88,4
89,6
90,3
91,4
92,2
93,3
94,2
95,4
96,5
97,9
98,2
99,8
100,5
101,4
102,4
103,4
105,2
107,3
108,2
109,4
110,2
111,2
112,6
113,1
114,4
115,1
116,3
117,1
118,2
119,4
120,4
121,5
122,2
123,3
124,3
125,2
126,1
128,4
129,1
130,3
131,1
132,2
133,2
134,3
135,2
136,2
137,2
138,4
139,1
140,1
143,2
145,2
146,1
147,1
148,1
149,4
151,1
152,2
153,1
154,2
155,2
156,2
157,1
159,4
162,1
164,3
165,1
166,2
167,3
169,2
170,1
171,2
172,1
180,1
181,1
182,1
184,1
186,1
191,1
192,1
195,1
197,1
199,2
207,1
209,3
211,1
212,1
213,2
219,1
220,1
221,1
222,1
227,1
229,1
231,1
233,1
235,1
236,2
238,2
241,1
252,2
260,1
261,1
262,2
263,2
266,1
268,1
283,1
295,1
300,1
321,1
325,1
330,1
393,1
424,1
428,1
454,1
481,1
532,1
535,1
549,1
599,1
604,1
613,1
945,1
964,1
1791,1
